 ;spi/dat   15-JAN-2014 AT 10:36:14   rf_doc.dat
 ;        NORM-FREQ      DPH           FRC          FRCCRIT        PIXELS
  281 5  0.373333       100.335      7.775807E-02  0.147087       416.000     
  282 5  0.374667       103.496      6.830072E-03  0.141737       448.000     
  283 5  0.376000       106.304     -4.476580E-03  0.145693       424.000     
  284 5  0.377333       104.389     -1.155310E-02  0.139876       460.000     
  285 5  0.378667       101.761      3.071823E-02  0.145010       428.000     
  286 5  0.380000       103.479      5.428320E-03  0.134164       500.000     
  287 5  0.381333       100.320      2.690447E-02  0.150756       396.000     
  288 5  0.382667       103.255     -3.159397E-02  0.141108       452.000     
  289 5  0.384000       102.305      3.829995E-02  0.141737       448.000     
  290 5  0.385333       108.016     -5.856783E-02  0.136931       480.000     
  291 5  0.386667       103.977     -9.783988E-04  0.147087       416.000     
  292 5  0.388000       105.098     -1.139288E-02  0.135250       492.000     
  293 5  0.389333       100.019      6.043235E-02  0.143674       436.000     
  294 5  0.390667       109.344     -5.170768E-02  0.138675       468.000     
  295 5  0.392000       103.526      2.123061E-02  0.141737       448.000     
  296 5  0.393333       102.366      1.158937E-02  0.134704       496.000     
  297 5  0.394667       101.311      1.617307E-02  0.145693       424.000     
  298 5  0.396000       103.497      2.331338E-03  0.139876       460.000     
  299 5  0.397333       108.053     -5.429355E-02  0.141108       452.000     
  300 5  0.398667       100.934     -7.430065E-04  0.132068       516.000     
  301 5  0.400000       103.736      2.033570E-02  0.147087       416.000     
  302 5  0.401333       106.108     -5.526730E-02  0.130558       528.000     
  303 5  0.402667       100.820      1.806433E-02  0.144338       432.000     
  304 5  0.404000       105.087     -2.699086E-02  0.133631       504.000     
  305 5  0.405333       104.729     -3.468000E-02  0.140488       456.000     
  306 5  0.406667       103.494     -1.038008E-02  0.133103       508.000     
  307 5  0.408000       100.436      5.463467E-02  0.142374       444.000     
  308 5  0.409333       100.764      5.921299E-02  0.138675       468.000     
  309 5  0.410667       103.744     -2.150003E-02  0.135804       488.000     
  310 5  0.412000       98.4303      6.264575E-02  0.131559       520.000     
  311 5  0.413333       98.4234      6.132950E-02  0.143019       440.000     
  312 5  0.414667       98.8852      6.341083E-02  0.129099       540.000     
  313 5  0.416000       111.184     -0.105630      0.142374       444.000     
  314 5  0.417333       108.994     -6.755038E-02  0.132068       516.000     
  315 5  0.418667       106.410      1.671610E-02  0.141737       448.000     
  316 5  0.420000       106.349     -5.945001E-02  0.128624       544.000     
  317 5  0.421333       101.050      5.404951E-02  0.143019       440.000     
  318 5  0.422667       106.638     -5.165018E-02  0.132068       516.000     
  319 5  0.424000       103.960      7.806828E-03  0.133103       508.000     
  320 5  0.425333       102.001      5.323207E-02  0.132068       516.000     
  321 5  0.426667       104.971     -1.640463E-02  0.138675       468.000     
  322 5  0.428000       106.695     -3.602406E-02  0.133103       508.000     
  323 5  0.429333       102.634     -2.627539E-02  0.135804       488.000     
  324 5  0.430667       108.034     -4.089627E-02  0.128624       544.000     
  325 5  0.432000       99.5360      4.240448E-02  0.141737       448.000     
  326 5  0.433333       104.493     -2.277784E-02  0.126323       564.000     
  327 5  0.434667       99.7557      3.310606E-02  0.136364       484.000     
  328 5  0.436000       101.384      6.981900E-02  0.131056       524.000     
  329 5  0.437333       103.151      3.139505E-02  0.132583       512.000     
  330 5  0.438667       103.590      1.015884E-02  0.128624       544.000     
  331 5  0.440000       99.6552      5.981400E-02  0.135804       488.000     
  332 5  0.441333       103.203      3.134381E-02  0.133103       508.000     
  333 5  0.442667       108.781     -5.469222E-02  0.133103       508.000     
  334 5  0.444000       100.910      7.054255E-02  0.131056       524.000     
  335 5  0.445333       102.134     -1.473635E-02  0.135804       488.000     
  336 5  0.446667       103.527     -1.636419E-02  0.123299       592.000     
  337 5  0.448000       104.134     -7.882361E-03  0.134704       496.000     
  338 5  0.449333       104.771     -3.452769E-02  0.129580       536.000     
  339 5  0.450667       104.712      1.659168E-02  0.135804       488.000     
  340 5  0.452000       105.721     -3.424261E-02  0.122885       596.000     
  341 5  0.453333       108.527     -3.954642E-02  0.138675       468.000     
  342 5  0.454667       103.857      1.847637E-02  0.127228       556.000     
  343 5  0.456000       103.147      7.395207E-03  0.132583       512.000     
  344 5  0.457333       104.172      3.929189E-02  0.126773       560.000     
  345 5  0.458667       106.313     -4.999912E-02  0.132583       512.000     
  346 5  0.460000       102.325      1.344756E-02  0.123718       588.000     
  347 5  0.461333       103.287      1.668003E-02  0.134164       500.000     
  348 5  0.462667       106.552     -6.290887E-02  0.124568       580.000     
  349 5  0.464000       108.996     -9.680731E-02  0.132583       512.000     
  350 5  0.465333       105.000      4.325736E-03  0.124141       584.000     
  351 5  0.466667       103.967     -2.902309E-02  0.131559       520.000     
  352 5  0.468000       103.008      1.244254E-02  0.131056       524.000     
  353 5  0.469333       100.417      6.188119E-02  0.128154       548.000     
  354 5  0.470667       110.414     -6.789427E-02  0.122068       604.000     
  355 5  0.472000       101.617     -7.703737E-03  0.133103       508.000     
  356 5  0.473333       106.961     -2.536015E-02  0.123718       588.000     
  357 5  0.474667       106.279     -2.426505E-02  0.130558       528.000     
  358 5  0.476000       108.265     -5.264637E-02  0.123299       592.000     
  359 5  0.477333       101.480      4.100397E-02  0.129580       536.000     
  360 5  0.478667       107.112     -2.510517E-02  0.125436       572.000     
  361 5  0.480000       102.466     -1.492925E-02  0.128154       548.000     
  362 5  0.481333       102.295      1.497631E-02  0.127228       556.000     
  363 5  0.482667       104.027      2.102491E-02  0.125000       576.000     
  364 5  0.484000       104.357     -1.355145E-02  0.120873       616.000     
  365 5  0.485333       105.659      1.213403E-02  0.131559       520.000     
  366 5  0.486667       102.087      3.511119E-02  0.122068       604.000     
  367 5  0.488000       101.094      3.864923E-02  0.132068       516.000     
  368 5  0.489333       105.204     -5.739756E-03  0.120483       620.000     
  369 5  0.490667       104.718     -1.114285E-02  0.131559       520.000     
  370 5  0.492000       105.676     -2.797429E-02  0.120096       624.000     
  371 5  0.493333       98.8311      7.055327E-02  0.126773       560.000     
  372 5  0.494667       100.516      2.826109E-02  0.125436       572.000     
  373 5  0.496000       103.216      1.877322E-02  0.122885       596.000     
  374 5  0.497333       100.039      7.205785E-02  0.124568       580.000     
  375 5  0.498667       98.3137      0.110400      0.125436       572.000     
  376 5  0.500000       105.782     -1.472449E-02  0.122885       596.000     
