 ;spi/dat   15-JAN-2014 AT 10:53:45   rfsn_doc.dat
 ; RADIUS NORM.RAD        SSNR         NVALS       VARIANCE
  341 4  0.453333       0.00000       234.000       1.00214     
  342 4  0.454667      3.754771E-02   278.000       1.03874     
  343 4  0.456000      1.489985E-02   256.000       1.01678     
  344 4  0.457333      8.179653E-02   280.000       1.08064     
  345 4  0.458667       0.00000       256.000       1.00196     
  346 4  0.460000      2.705383E-02   294.000       1.02845     
  347 4  0.461333      3.383780E-02   250.000       1.03536     
  348 4  0.462667       0.00000       290.000       1.00173     
  349 4  0.464000       0.00000       256.000       1.00196     
  350 4  0.465333      8.680940E-03   292.000       1.01038     
  351 4  0.466667       0.00000       260.000       1.00193     
  352 4  0.468000      2.519274E-02   262.000       1.02685     
  353 4  0.469333      0.131771       274.000       1.12616     
  354 4  0.470667       0.00000       302.000       1.00166     
  355 4  0.472000       0.00000       254.000       1.00197     
  356 4  0.473333       0.00000       294.000       1.00171     
  357 4  0.474667       0.00000       264.000       1.00190     
  358 4  0.476000       0.00000       296.000       1.00169     
  359 4  0.477333      8.551133E-02   268.000       1.08418     
  360 4  0.478667       0.00000       286.000       1.00175     
  361 4  0.480000       0.00000       274.000       1.00183     
  362 4  0.481333      3.037572E-02   278.000       1.03179     
  363 4  0.482667      4.292762E-02   288.000       1.04386     
  364 4  0.484000       0.00000       308.000       1.00163     
  365 4  0.485333      2.454722E-02   260.000       1.02623     
  366 4  0.486667      7.270265E-02   302.000       1.07202     
  367 4  0.488000      8.028603E-02   258.000       1.07940     
  368 4  0.489333       0.00000       310.000       1.00162     
  369 4  0.490667       0.00000       260.000       1.00193     
  370 4  0.492000       0.00000       312.000       1.00161     
  371 4  0.493333      0.151647       280.000       1.14370     
  372 4  0.494667      5.802763E-02   286.000       1.05829     
  373 4  0.496000      3.824389E-02   298.000       1.03929     
  374 4  0.497333      0.154657       290.000       1.14627     
  375 4  0.498667      0.248202       286.000       1.22551     
  376 4  0.500000      0.128382       146.000       1.12496     
