
 ;spi/dat   13-JAN-2014 AT 10:40:39   pdbpts_doc.dat

  156 7   42.1410       13.4570       35.6070       80605.0       20.5100       25011.0       0.00000     
  157 7   42.2040       12.9370       34.1870       80600.0       20.5100       25011.0       0.00000     
  158 7   41.1300       11.9350       33.9120       80705.0       20.5100       25011.0       0.00000     
  159 7   43.7160       17.5600       35.2120       20700.0       34.2600       26011.0       0.00000     
  160 7   43.9400       18.1240       33.8850       20601.0       34.2600       26011.0       0.00000     
  161 7   45.2000       18.9830       33.8390       20600.0       34.2600       26011.0       0.00000     
  162 7   46.0360       18.8090       32.9560       20800.0       34.2600       26011.0       0.00000     
  163 7   42.7260       18.9620       33.4340       20602.0       28.7400       26011.0       0.00000     
  164 7   41.5830       18.1060       33.3050       20804.0       28.7400       26011.0       0.00000     
  165 7   42.9990       19.6450       32.1160       20608.0       28.7400       26011.0       0.00000     
  166 7   45.3450       19.8950       34.7970       20700.0       36.6800       27011.0       0.00000     
  167 7   46.5090       20.7720       34.8300       20601.0       36.6800       27011.0       0.00000     
  168 7   47.8010       19.9760       34.9270       20600.0       36.6800       27011.0       0.00000     
  169 7   48.7680       20.2490       34.2140       20800.0       36.6800       27011.0       0.00000     
  170 7   46.4740       21.7290       36.0260       20602.0       32.9100       27011.0       0.00000     
  171 7   45.2170       22.4150       36.0630       20804.0       32.9100       27011.0       0.00000     
  172 7   47.5860       22.7500       35.9020       20608.0       32.9100       27011.0       0.00000     
  173 7   47.8230       18.9980       35.8260       20700.0       31.0900       28011.0       0.00000     
  174 7   49.0040       18.1680       36.0090       20601.0       31.0900       28011.0       0.00000     
  175 7   49.3550       17.4170       34.7280       20600.0       31.0900       28011.0       0.00000     
  176 7   50.5240       17.2880       34.3740       20800.0       31.0900       28011.0       0.00000     
  177 7   48.7940       17.1750       37.1770       20602.0       49.6800       28011.0       0.00000     
  178 7   48.8630       17.8910       38.4170       20804.0       49.6800       28011.0       0.00000     
  179 7   49.8540       16.0690       37.1640       20608.0       49.6800       28011.0       0.00000     
  180 7   48.3390       16.9280       34.0300       20700.0       32.1500       29011.0       0.00000     
  181 7   48.5530       16.2110       32.7810       20601.0       32.1500       29011.0       0.00000     
  182 7   49.0410       17.1680       31.6890       20600.0       32.1500       29011.0       0.00000     
  183 7   49.9580       16.8460       30.9340       20800.0       32.1500       29011.0       0.00000     
  184 7   47.2610       15.5380       32.3050       20602.0       25.1300       29011.0       0.00000     
  185 7   46.8150       14.5900       33.2960       20804.0       25.1300       29011.0       0.00000     
  186 7   47.4960       14.8460       30.9620       20608.0       25.1300       29011.0       0.00000     
  187 7   48.4330       18.3460       31.6130       130700.       41.6200       30011.0       0.00000     
  188 7   48.8210       19.3380       30.6140       130601.       41.6200       30011.0       0.00000     
